TestResult.DisplayName,TestResult.Outcome,TestResult.Duration,TestResult.ResourceCount
M3.add3 (well-formedness) (assertion batch 0),Passed,00:00:00.1759347,242545
M3.add3 (well-formedness) (assertion batch 0),Passed,00:00:00.1735807,239652
M3.add3 (well-formedness) (assertion batch 0),Passed,00:00:00.1705948,239689
M3.AddStep3 (correctness) (assertion batch 0),Passed,00:00:00.1671778,108318
M3.add3 (well-formedness) (assertion batch 0),Passed,00:00:00.1633594,239653
M3.add3 (well-formedness) (assertion batch 0),Passed,00:00:00.1523979,240040
M3.AddStep2 (well-formedness) (assertion batch 0),Passed,00:00:00.1248038,7833
M3.AddStep1 (well-formedness) (assertion batch 0),Passed,00:00:00.1248031,6801
M3.AddStep3 (well-formedness) (assertion batch 0),Passed,00:00:00.1247978,28650
M3.AddStep2 (correctness) (assertion batch 0),Passed,00:00:00.1247975,10095
M3.AddStep1 (correctness) (assertion batch 0),Passed,00:00:00.1247804,8042
M3.AddStep3 (correctness) (assertion batch 0),Passed,00:00:00.0696398,115466
M3.AddStep3 (correctness) (assertion batch 0),Passed,00:00:00.0693279,125511
M3.AddStep3 (correctness) (assertion batch 0),Passed,00:00:00.0628351,125510
M3.AddStep3 (well-formedness) (assertion batch 0),Passed,00:00:00.0402614,28651
M3.AddStep3 (correctness) (assertion batch 0),Passed,00:00:00.0320375,149358
M3.AddStep3 (well-formedness) (assertion batch 0),Passed,00:00:00.0268125,28651
M3.AddStep2 (correctness) (assertion batch 0),Passed,00:00:00.0250631,10330
M3.AddStep2 (well-formedness) (assertion batch 0),Passed,00:00:00.0240935,7833
M3.AddStep3 (well-formedness) (assertion batch 0),Passed,00:00:00.0235562,28652
M3.AddStep3 (well-formedness) (assertion batch 0),Passed,00:00:00.0234566,28650
M3.AddStep1 (well-formedness) (assertion batch 0),Passed,00:00:00.0215131,6801
M3.AddStep1 (well-formedness) (assertion batch 0),Passed,00:00:00.0202066,6801
M3.AddStep1 (correctness) (assertion batch 0),Passed,00:00:00.0175271,8280
M3.AddStep2 (correctness) (assertion batch 0),Passed,00:00:00.0166746,10720
M3.AddStep1 (well-formedness) (assertion batch 0),Passed,00:00:00.0162976,6801
M3.AddStep1 (correctness) (assertion batch 0),Passed,00:00:00.0161105,8044
M3.AddStep1 (correctness) (assertion batch 0),Passed,00:00:00.0160199,8280
M3.AddStep2 (well-formedness) (assertion batch 0),Passed,00:00:00.0152327,7833
M3.AddStep2 (well-formedness) (assertion batch 0),Passed,00:00:00.0150925,7833
M3.AddStep2 (correctness) (assertion batch 0),Passed,00:00:00.0149381,10330
M3.AddStep2 (well-formedness) (assertion batch 0),Passed,00:00:00.0146360,7833
M3.AddStep1 (correctness) (assertion batch 0),Passed,00:00:00.0142495,8245
M3.AddStep2 (correctness) (assertion batch 0),Passed,00:00:00.0135860,11031
M3.AddStep1 (well-formedness) (assertion batch 0),Passed,00:00:00.0117433,6801
